week,population,police,crime,emp,un,ymale,white,borough
60,181286,53347,1053,0.72809178,0.043496788,0.066507526,0.76603168,2
61,181286,55843,1087,0.67549521,0.061661743,0.064661406,0.59887338,2
62,181286,54832,1065,0.72326887,0.026160913,0.064424478,0.70334405,2
63,181286,54112,1219,0.66956681,0.049514294,0.074728303,0.63078868,2
64,181286,52112,1281,0.73696423,0.029761903,0.072113454,0.73854226,2
65,181286,40145,1106,0.73377675,0.042109802,0.060532998,0.67900425,2
66,181286,53410,1198,0.72646511,0.045954186,0.054466415,0.70535296,2
67,181286,55212,1166,0.72327805,0.042562936,0.05598817,0.78657615,2
68,181286,58290,1145,0.65117711,0.05501562,0.065289862,0.7229901,2
69,181286,58806,1286,0.77384412,0.019185277,0.060679302,0.72750765,2
70,181286,54392,1146,0.7125777,0.073049523,0.056474786,0.69443184,2
71,181286,61471,1234,0.7282396,0.037122566,0.086984389,0.753389,2
72,181286,58665,1206,0.65338778,0.054633301,0.054080665,0.69159693,2
73,181286,55803,1144,0.7713055,0.038714379,0.062511429,0.75875384,2
74,181286,49542,1161,0.6775527,0.05685775,0.076139711,0.58295131,2
75,181286,56852,1119,0.73010963,0.031587787,0.05985716,0.6990847,2
76,181286,54142,1184,0.66036856,0.056826241,0.051851034,0.61031133,2
77,181286,56139,1186,0.75107729,0.02603914,0.076057509,0.75418723,2
78,181286,55350,1212,0.73949802,0.045703046,0.063915104,0.62525696,2
79,181286,67608,1345,0.72572762,0.050062418,0.048102681,0.71624517,2
80,181286,82953.797,1040,0.7281487,0.047867693,0.058262765,0.83093727,2
81,181286,70837,1224,0.68553245,0.073645175,0.079179831,0.72735262,2
82,181286,73951.797,1210,0.71667933,0.042303309,0.071977839,0.70821786,2
83,181286,75344.203,1061,0.68595111,0.089695603,0.043130748,0.66176093,2
84,181286,68058,1069,0.71208656,0.057746865,0.074251436,0.70679414,2
85,181286,59650.199,1099,0.66315436,0.055871427,0.065485194,0.71677995,2
86,181286,51488,1081,0.72992742,0.043257859,0.06649901,0.76641572,2
87,181286,54986,1068,0.68258411,0.068735808,0.077838533,0.58882326,2
88,181286,52519,1034,0.72131413,0.044459574,0.059904143,0.71532899,2
89,181286,59042,1079,0.68486977,0.062022109,0.057408769,0.62011778,2
90,181286,56533,1093,0.74820256,0.051505346,0.090887822,0.7455495,2
91,181286,55342,1071,0.71801579,0.061389022,0.066808417,0.66150659,2
92,181286,57406.668,966,0.71416503,0.058268059,0.056362886,0.70883667,2
93,181286,60551.184,1056,0.7384457,0.069867365,0.060566392,0.81707478,2
94,181286,59283.551,1022,0.67605913,0.070973538,0.075973615,0.72287202,2
95,181286,57768.582,1043,0.72422206,0.029733909,0.075317942,0.73913938,2
96,181286,57616,992,0.67809421,0.067085683,0.044617433,0.63332313,2
97,181286,60900.398,1087,0.74757713,0.048100606,0.052074518,0.70966798,2
98,181286,60108.168,1083,0.65115231,0.05715536,0.064780392,0.68393511,2
99,181286,58513.582,1086,0.6860317,0.037495226,0.068812005,0.7102533,2
100,181286,57799.816,1155,0.70332533,0.057847541,0.071385987,0.59498894,2
101,181286,60767.582,1213,0.69485086,0.045296907,0.068531655,0.6936481,2
102,181286,59755.465,1138,0.6596185,0.047263894,0.073796399,0.6244517,2
103,181286,56477.102,1115,0.77560216,0.039237626,0.096775584,0.73660398,2
104,181286,34434.332,863,0.72826576,0.068213426,0.075711384,0.68720502,2
1,198020,24458.367,742,0.69931257,0.055706903,0.07619147,0.71940374,3
2,198020,29011.316,762,0.67117232,0.048527505,0.087027185,0.62423885,3
3,198020,30995.25,721,0.67793506,0.061527666,0.070533462,0.64231122,3
4,198020,29333.334,797,0.66553849,0.068132237,0.091269724,0.56081074,3
5,198020,29363.883,785,0.56599742,0.081261672,0.059532747,0.52081382,3
6,198020,30772.584,784,0.65516323,0.060367372,0.052752685,0.65107507,3
7,198020,30355.449,776,0.63793564,0.074774444,0.10609662,0.76670098,3
8,198020,30585,731,0.61349183,0.046931159,0.03134032,0.58756179,3
9,198020,31428.25,753,0.64084208,0.041884463,0.079565823,0.46312574,3
10,198020,30841.85,787,0.6299116,0.056873627,0.047608454,0.6372568,3
11,198020,29239.801,709,0.61911047,0.079837143,0.07316041,0.6012876,3
12,198020,30216.301,725,0.60137135,0.056197092,0.044688657,0.5373885,3
13,198020,30835.5,712,0.64510328,0.068087108,0.087095805,0.63874418,3
14,198020,28079.25,757,0.72310507,0.045560144,0.061491754,0.73525661,3
15,198020,21806,680,0.69092172,0.042220645,0.095628053,0.61782062,3
16,198020,28863.5,721,0.66404653,0.067693651,0.10451576,0.56810844,3
17,198020,30424.033,791,0.59155923,0.06610468,0.088108346,0.53905362,3
18,198020,26956.801,697,0.57167757,0.085682981,0.064197108,0.49946806,3
19,198020,30786.166,822,0.67091739,0.078320242,0.037772071,0.64493662,3
20,198020,31994.033,832,0.62742692,0.077079095,0.096353926,0.68391377,3
21,198020,30656.383,769,0.56242853,0.058356091,0.050282869,0.55294615,3
22,198020,25593.084,725,0.60472542,0.044581994,0.073229983,0.51145262,3
23,198020,28239.5,780,0.71684551,0.04424214,0.060698837,0.68756562,3
24,198020,29314.084,741,0.61788952,0.064013727,0.06707073,0.59911919,3
25,198020,28993,668,0.58157659,0.081252471,0.047610667,0.52923638,3
26,198020,29050,776,0.62230229,0.074782841,0.069124758,0.58252966,3
27,198020,29310,699,0.69776106,0.086548977,0.072573297,0.71873838,3
28,198020,30047.666,684,0.66326606,0.046669848,0.083489619,0.62662351,3
29,198020,30425.75,682,0.63875693,0.09057565,0.11511809,0.61073929,3
30,198020,28592.232,745,0.5977726,0.092210479,0.077749558,0.57483274,3
31,198020,28121.416,644,0.57348573,0.071053177,0.061159603,0.49311814,3
32,198020,27389,718,0.67210543,0.052476224,0.061927587,0.59509999,3
33,198020,26297.5,797,0.64888042,0.07153599,0.079931073,0.70178562,3
34,198020,25702.25,754,0.6170693,0.039596375,0.076757252,0.50664622,3
35,198020,28444.25,658,0.5598107,0.074968822,0.080901317,0.45303288,3
36,198020,27377.25,740,0.67203814,0.093204223,0.064676009,0.6710189,3
37,198020,28561.5,805,0.61946815,0.048535202,0.056942701,0.60346693,3
38,198020,28765.5,675,0.5898661,0.064819887,0.041043859,0.52890062,3
39,198020,30060.5,734,0.63373351,0.075470194,0.060837023,0.64059561,3
40,198020,30603.25,677,0.65515685,0.053550482,0.078798927,0.6984868,3
41,198020,30090.416,671,0.65565103,0.044320066,0.074797213,0.61219299,3
42,198020,31202.25,716,0.59586132,0.05005106,0.10858886,0.63542008,3
43,198020,29143.5,747,0.58569276,0.067632399,0.078795321,0.54889745,3
44,198020,29814,797,0.62099999,0.08092732,0.061041214,0.58309716,3
45,198020,31312.717,678,0.65134686,0.053150121,0.074852392,0.5993914,3
46,198020,31231,684,0.67812878,0.048661761,0.059563924,0.68146485,3
47,198020,29298.949,732,0.56193399,0.061620049,0.098082051,0.47795951,3
48,198020,30580.867,703,0.54636639,0.071563095,0.095700972,0.48374867,3
49,198020,31397.434,719,0.66569591,0.10711912,0.061870076,0.65846765,3
50,198020,31466.666,621,0.62107736,0.053209368,0.077471375,0.65464461,3
51,198020,28047.75,580,0.61127037,0.062272087,0.048138086,0.54790461,3
52,198020,17901.584,424,0.64698261,0.046358746,0.053459845,0.59282815,3
53,198020,22913.25,609,0.67298371,0.030349223,0.067010313,0.70788437,3
54,198020,31311,651,0.65208113,0.04916402,0.080692269,0.62388384,3
55,198020,33030,617,0.64195549,0.040417861,0.10630701,0.66405112,3
56,198020,33324,612,0.61938369,0.04659437,0.084517866,0.51931936,3
57,198020,32318,701,0.68450433,0.068538636,0.073943071,0.62260175,3
58,198020,31919,675,0.66904235,0.065456145,0.059403159,0.63469881,3
59,198020,31235,674,0.68904299,0.041686688,0.054086559,0.66181529,3
60,198020,30648,663,0.5586049,0.064578645,0.10502589,0.46448115,3
61,198020,30206,616,0.54905766,0.056356799,0.086365521,0.5473181,3
62,198020,29091,672,0.66260928,0.081314422,0.069023244,0.62031287,3
63,198020,29334,651,0.61695355,0.057973143,0.084434368,0.63422441,3
64,198020,30026,667,0.62246311,0.046977293,0.062027551,0.62495685,3
65,198020,20375,567,0.64032477,0.033756003,0.051189203,0.62161279,3
66,198020,28384,750,0.64519536,0.044963654,0.071330324,0.68185025,3
67,198020,29770,721,0.6300441,0.073467962,0.078535035,0.62272459,3
68,198020,32497,751,0.62338924,0.049277369,0.079365566,0.68777764,3
69,198020,30547,836,0.60375774,0.050916068,0.092435412,0.50720227,3
70,198020,27008,690,0.64138424,0.067861743,0.091280736,0.56152153,3
71,198020,32891,736,0.63712907,0.057112206,0.059167009,0.5988602,3
72,198020,31432,723,0.66437417,0.050669871,0.051633731,0.66351771,3
73,198020,29723,757,0.54850787,0.053845864,0.084081426,0.49318081,3
74,198020,26197,689,0.53246802,0.042657234,0.10322872,0.55664617,3
75,198020,29390,689,0.66481161,0.069801912,0.088583194,0.61001921,3
